作者,名称,类型,进度,字数,发表时间,作品视角,所属系列,版权转化,签约状态,非v章节章均点击数,总书评数,当前被收藏数,文章积分,内容标签,评分,评价人数,五星比例,四星比例,三星比例,二星比例,一星比例
清汤涮香菜,沉溺,原创-百合-近代现代-爱情,完结,273231,2024-03-02 09:45:00,互攻,完结可食用2.0 之 骚包闷骚,中国大陆出版最新签约,已签约,86241,22840,75487,"1,447,089,536","情有独钟,因缘邂逅,轻松,御姐",9.6,454,83%,15%,2%,0%,0%
境风,浮热,原创-纯爱-近代现代-爱情,完结,113951,2025-09-01 22:10:17,双视角,在这世界,中国大陆出版最新签约,已签约,12694,16311,13368,"448,820,672",年下,9.8,388,89%,10%,1%,0%,0%
初云之初,摆烂，摆烂，摆烂！！,原创-言情-架空历史-爱情,完结,1050311,2025-01-03 00:00:02,男主,乔乔的奇妙冒险,未签约,已签约,159818,279889,108180,"3,826,925,056","宫廷侯爵,穿越时空,爽文,成长,轻松",9.7,618,87%,12%,1%,0%,0%
MM豆,穿成科举文里的嫡长孙,原创-言情-架空历史-爱情,完结,940125,2023-01-04 11:55:40,男主,【连载中】,"电视剧签约,网络剧签约,中国大陆出版最新签约",已签约,559193,80014,273909,"3,586,997,760","穿越时空,穿书,爽文,科举,轻松",9.7,2928,85%,14%,1%,0%,0%
锦绣灰,中秋有雨冬至晴,原创-言情-近代现代-爱情,完结,296922,2025-05-01 20:00:00,女主,山南水北,中国大陆出版最新签约,已签约,688,910,949,"25,693,796","都市,破镜重圆,业界精英,成长,正剧",暂无,0,0%,0%,0%,0%,0%
陌言川,初次热恋,原创-言情-近代现代-爱情,完结,324086,2024-10-29 21:05:20,女主,正在连载…… 之 久别重逢,中国大陆出版最新签约,已签约,44518,25839,42854,"1,235,545,984","情有独钟,破镜重圆,天之骄子,业界精英,甜文,轻松",9,41,59%,34%,7%,0%,0%
腰下剑,电风扇,原创-言情-近代现代-爱情,完结,116357,2025-10-05 18:19:19,女主,bg,中国大陆出版最新签约,已签约,3312,853,3163,"33,496,840","欢喜冤家,青梅竹马,甜文,成长,治愈,日常",10,23,100%,0%,0%,0%,0%
Apptree,玻璃金鱼,原创-言情-近代现代-爱情,未知,51653,2025-10-16 18:00:09,女主,无从属系列,中国大陆出版最新签约,已签约,42,11,109,"1,463,968","花季雨季,情有独钟,破镜重圆,天作之合,天之骄子,轻松",0,0,0%,0%,0%,0%,0%
拉面土豆丝,遥遥,原创-言情-近代现代-爱情,完结,214134,2025-07-13 12:54:53,女主,写完了/done,中国大陆出版最新签约,已签约,5896,5867,7198,"200,261,280","欢喜冤家,近水楼台,青梅竹马,市井生活,时代新风,治愈",9.7,55,87%,11%,2%,0%,0%
希昀,侯门,原创-言情-古色古香-爱情,完结,618858,2025-10-23 17:08:34,女主,正在连载,中国大陆出版最新签约,已签约,169119,59908,175272,"1,871,213,184","强强,情有独钟,甜文,爽文,正剧,先婚后爱",9.3,600,74%,19%,6%,1%,0%
